symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
BHARTIARTL,2025-08-25,2025-12-12,1930.7,2117.69,15,9.68,9.45,T1_PARTIAL_BE,66.2,65.7,100,50,60,45,0,55
DMART,2025-08-25,2025-10-08,4725.3,4305.0,6,-8.89,-9.23,STOP_LOSS_GAP,70.7,74.3,73,80,55,85,0,50
DRREDDY,2025-08-25,2025-09-30,1283.9,1235.1,5,-3.8,-4.14,STOP_LOSS_GAP,66.7,61.2,83,90,60,25,0,55
BRITANNIA,2025-09-02,2025-12-19,5891.5,6103.0,15,3.59,3.27,END_OF_REPLAY,79.7,79.9,83,100,75,70,0,60
MARUTI,2025-09-08,2025-12-29,14842.0,16542.0,15,11.45,11.14,END_OF_REPLAY,75.7,77.6,93,72,55,80,0,60
TATASTEEL,2025-09-09,2025-12-29,165.73,168.82,15,1.86,1.45,END_OF_REPLAY,72.9,70.9,83,90,75,45,0,60
BAJAJ-AUTO,2025-09-09,2025-09-30,9252.78,8599.97,3,-7.06,-7.39,STOP_LOSS_GAP,70.2,73.9,78,65,75,70,0,60
JSWSTEEL,2025-09-15,2026-01-05,1104.5,1185.9,15,7.37,7.04,END_OF_REPLAY,69.1,68.1,93,70,75,33,0,60
ADANIPORTS,2025-09-15,2026-01-05,1375.1,1486.73,15,8.12,7.79,END_OF_REPLAY,65.2,70.0,76,50,90,60,0,55
EICHERMOT,2025-09-15,2026-01-05,6874.5,7482.5,15,8.84,8.53,END_OF_REPLAY,80.5,80.3,100,72,70,85,0,60
TATACONSUM,2025-09-23,2026-01-12,1119.03,1182.3,15,5.65,5.32,END_OF_REPLAY,65.5,65.2,68,75,90,43,0,55
SBIN,2025-09-29,2026-01-05,855.19,965.59,13,12.91,12.67,TARGET_2,74.3,71.8,83,90,90,43,0,60
LT,2025-09-29,2026-01-05,3622.22,4036.28,13,11.43,11.12,TARGET_2_GAP,68.1,67.4,76,80,90,33,0,60
BAJFINANCE,2025-10-07,2026-01-27,998.9,920.63,15,-7.84,-8.09,STOP_LOSS,65.8,60.4,93,75,75,8,0,60
TITAN,2025-10-15,2025-12-05,3549.0,3820.73,7,7.66,7.34,TRAIL_STOP,67.0,71.5,76,50,75,80,0,55
APOLLOHOSP,2025-10-15,2025-11-28,7815.62,7285.57,6,-6.78,-7.12,STOP_LOSS,66.2,65.8,93,65,60,33,0,60
BPCL,2025-10-21,2026-01-12,321.93,354.45,11,10.1,9.75,TRAIL_STOP,77.8,78.9,83,80,90,80,0,55
KOTAKBANK,2025-10-23,2025-11-07,445.12,415.74,2,-6.6,-6.88,STOP_LOSS_GAP,68.5,67.6,78,80,55,55,0,60
M&M,2025-10-23,2026-02-10,3623.6,3675.8,15,1.44,1.2,END_OF_REPLAY,67.3,66.7,93,80,40,43,0,50
BAJAJFINSV,2025-10-23,2025-12-19,2176.6,2019.0,8,-7.24,-7.58,STOP_LOSS_GAP,77.3,73.6,93,90,90,43,0,60
GRASIM,2025-10-23,2025-11-07,2864.6,2700.0,2,-5.75,-6.08,STOP_LOSS_GAP,71.7,65.0,93,85,90,18,0,60
CIPLA,2025-10-23,2025-10-30,1629.81,1527.21,1,-6.3,-6.64,STOP_LOSS,76.8,78.3,93,90,60,60,0,60
RELIANCE,2025-10-30,2026-01-27,1481.65,1373.65,12,-7.29,-7.54,STOP_LOSS_GAP,67.9,67.2,68,80,75,55,0,60
DIVISLAB,2025-10-30,2026-01-19,6655.0,6112.94,11,-8.15,-8.48,STOP_LOSS,65.7,70.4,78,65,60,60,0,55
SBILIFE,2025-10-30,2026-02-17,1965.67,2036.67,15,3.61,3.29,END_OF_REPLAY,75.5,72.6,93,90,90,33,0,60
CIPLA,2025-11-06,2025-12-19,1525.79,1481.6,6,-2.9,-3.23,STOP_LOSS_GAP,72.9,75.8,93,65,60,70,0,60
SHRIRAMFIN,2025-11-07,2026-02-03,816.35,994.32,12,21.8,21.48,TARGET_2,65.3,65.0,93,72,50,35,0,50
SUNPHARMA,2025-11-14,2026-01-19,1745.76,1639.35,9,-6.1,-6.43,STOP_LOSS_GAP,66.1,65.7,76,75,90,33,0,55
ASIANPAINT,2025-11-14,2026-01-27,2901.87,2697.7,10,-7.04,-7.37,STOP_LOSS,65.8,70.4,58,72,60,80,0,60
COALINDIA,2025-11-14,2026-01-05,381.9,425.33,7,11.37,11.02,TARGET_2_GAP,65.0,64.8,72,70,90,35,0,60
KOTAKBANK,2025-11-21,2026-01-27,417.56,402.78,9,-3.54,-3.82,STOP_LOSS,67.1,71.5,86,45,60,80,0,55
AXISBANK,2025-11-28,2026-03-18,1279.7,1253.2,15,-2.07,-2.32,END_OF_REPLAY,66.2,65.8,95,65,55,33,0,60
BAJAJ-AUTO,2025-11-28,2026-03-18,8947.58,9142.34,15,2.18,1.86,END_OF_REPLAY,70.7,69.3,78,75,90,55,0,55
HEROMOTOCO,2025-12-04,2025-12-19,6056.45,5615.54,2,-7.28,-7.61,STOP_LOSS_GAP,69.9,71.8,100,67,70,33,0,60
HINDALCO,2025-12-11,2026-02-17,823.25,918.69,9,11.59,11.27,TRAIL_STOP,75.6,77.6,95,65,70,80,0,55
TECHM,2025-12-12,2026-02-17,1578.4,1637.54,9,3.75,3.42,TRAIL_STOP,69.2,68.2,83,70,90,45,0,55
BRITANNIA,2025-12-26,2026-03-25,6103.0,5536.5,12,-9.28,-9.62,STOP_LOSS_GAP,66.8,66.3,93,60,75,33,0,60
TITAN,2025-12-29,2026-04-21,3983.7,4451.08,15,11.73,11.42,T1_PARTIAL_BE,69.2,68.2,93,65,70,43,0,60
