symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
SUNPHARMA,2025-01-01,2025-01-30,1812.54,1704.99,4,-5.93,-6.27,STOP_LOSS,68.4,65.6,100,60,90,25,0,55
HCLTECH,2025-01-01,2025-01-30,1783.8,1632.44,4,-8.49,-8.83,STOP_LOSS_GAP,65.1,67.9,100,55,60,33,0,55
TECHM,2025-01-01,2025-02-27,1650.93,1530.71,8,-7.28,-7.62,STOP_LOSS_GAP,66.9,69.4,100,55,75,33,0,55
APOLLOHOSP,2025-01-01,2025-01-16,7232.02,6732.88,2,-6.9,-7.24,STOP_LOSS_GAP,70.1,71.9,100,65,75,33,0,60
ITC,2025-01-02,2025-01-09,434.04,411.01,1,-5.31,-5.67,STOP_LOSS,65.8,70.5,78,50,60,80,0,55
INFY,2025-01-02,2025-02-19,1861.3,1722.67,7,-7.45,-7.7,STOP_LOSS,66.3,65.9,93,50,75,43,0,60
LT,2025-01-02,2025-01-23,3643.6,3399.63,3,-6.7,-6.94,STOP_LOSS,66.5,66.1,93,65,55,43,0,55
BHARTIARTL,2025-01-02,2025-04-24,1596.35,1814.4,15,13.66,13.43,T1_PARTIAL_BE,65.5,63.2,100,60,75,25,0,48
BAJFINANCE,2025-01-02,2025-02-05,734.39,832.83,5,13.4,13.16,TARGET_2,69.7,73.5,62,90,55,80,0,55
M&M,2025-01-02,2025-01-23,3185.51,2803.92,3,-11.98,-12.23,STOP_LOSS_GAP,68.9,68.0,100,70,55,43,0,50
ULTRACEMCO,2025-01-02,2025-01-16,11723.39,10523.3,2,-10.24,-10.57,STOP_LOSS_GAP,65.2,65.0,80,45,90,55,0,60
EICHERMOT,2025-01-02,2025-02-12,5240.15,4844.44,6,-7.55,-7.89,STOP_LOSS,77.3,78.6,86,70,75,90,0,60
DRREDDY,2025-01-09,2025-01-23,1362.96,1280.88,2,-6.02,-6.36,STOP_LOSS_GAP,65.7,65.3,78,65,60,55,0,60
ULTRACEMCO,2025-01-30,2025-02-27,11407.09,10637.36,4,-6.75,-7.08,STOP_LOSS,67.0,71.4,72,55,75,80,0,55
BAJAJFINSV,2025-01-30,2025-04-07,1744.35,1879.21,9,7.73,7.41,TRAIL_STOP,65.8,70.4,78,60,35,90,0,48
TITAN,2025-02-05,2025-02-12,3480.43,3272.9,1,-5.96,-6.3,STOP_LOSS_GAP,68.3,72.5,78,70,75,60,0,53
BAJFINANCE,2025-02-11,2025-06-06,845.73,937.15,15,10.81,10.57,END_OF_REPLAY,73.1,76.0,93,57,55,85,0,60
KOTAKBANK,2025-02-19,2025-05-09,396.54,428.73,10,8.12,7.85,TRAIL_STOP,67.4,66.8,93,65,55,43,0,60
JSWSTEEL,2025-02-27,2025-04-07,972.38,903.57,5,-7.08,-7.43,STOP_LOSS_GAP,67.5,71.8,68,70,75,70,0,55
ICICIBANK,2025-03-21,2025-07-11,1332.82,1411.01,15,5.87,5.63,END_OF_REPLAY,66.2,70.8,68,65,75,65,0,60
EICHERMOT,2025-03-21,2025-07-11,5238.03,5540.66,15,5.78,5.46,END_OF_REPLAY,68.0,67.2,93,65,60,43,0,60
SHRIRAMFIN,2025-03-21,2025-04-07,669.7,589.74,2,-11.94,-12.3,STOP_LOSS_GAP,68.0,72.3,76,80,40,80,0,45
HDFCBANK,2025-03-28,2025-07-18,901.91,988.14,15,9.56,9.32,T1_PARTIAL_BE,70.9,69.5,78,80,75,55,0,60
HINDALCO,2025-03-28,2025-04-07,677.48,554.93,1,-18.09,-18.47,STOP_LOSS_GAP,68.1,72.3,76,70,55,80,0,48
SHRIRAMFIN,2025-04-15,2025-08-01,607.56,610.48,15,0.48,0.13,END_OF_REPLAY,67.2,71.6,83,65,40,80,0,48
HDFCLIFE,2025-04-16,2025-08-01,714.08,741.7,15,3.87,3.53,END_OF_REPLAY,69.4,68.3,83,80,75,43,0,55
ULTRACEMCO,2025-04-24,2025-05-30,12082.41,11085.37,5,-8.25,-8.59,STOP_LOSS,68.0,67.2,78,75,60,55,0,60
JSWSTEEL,2025-04-24,2025-05-02,1041.69,949.6,1,-8.84,-9.19,STOP_LOSS,67.5,71.9,87,70,35,70,0,50
BAJAJFINSV,2025-04-24,2025-08-08,2103.97,1894.71,15,-9.95,-10.29,STOP_LOSS,66.0,65.6,93,75,35,45,0,50
CIPLA,2025-04-24,2025-05-23,1521.03,1427.4,4,-6.16,-6.5,STOP_LOSS,65.5,65.2,63,80,75,55,0,55
BRITANNIA,2025-04-24,2025-08-08,5391.25,5387.0,15,-0.08,-0.4,END_OF_REPLAY,67.1,71.5,63,80,75,70,0,48
TATACONSUM,2025-04-24,2025-07-25,1143.08,1049.79,13,-8.16,-8.51,STOP_LOSS,70.5,74.2,76,65,60,90,0,55
BHARTIARTL,2025-04-30,2025-08-18,1830.3,1892.3,15,3.39,3.15,END_OF_REPLAY,84.3,82.1,100,82,90,80,0,60
MARUTI,2025-05-16,2025-09-02,12855.86,14800.12,15,15.12,14.9,T1_PARTIAL_BE,66.3,65.9,76,90,60,30,0,60
DIVISLAB,2025-05-16,2025-09-02,6251.04,6120.5,15,-2.09,-2.42,END_OF_REPLAY,71.2,74.7,86,85,55,60,0,50
JSWSTEEL,2025-05-23,2025-09-09,1005.79,1104.5,15,9.81,9.49,END_OF_REPLAY,66.1,70.7,87,60,35,70,0,55
ADANIPORTS,2025-05-23,2025-09-09,1382.82,1375.1,15,-0.56,-0.89,END_OF_REPLAY,67.8,72.1,98,65,35,60,0,50
SBIN,2025-06-06,2025-09-23,798.65,855.19,15,7.08,6.83,END_OF_REPLAY,67.8,72.1,83,60,60,70,0,55
LT,2025-06-06,2025-09-23,3620.93,3622.22,15,0.04,-0.2,END_OF_REPLAY,67.8,72.1,83,70,55,60,0,55
CIPLA,2025-06-06,2025-09-23,1474.47,1512.91,15,2.61,2.28,END_OF_REPLAY,69.0,73.0,78,60,75,70,0,60
SBILIFE,2025-06-06,2025-09-23,1778.13,1816.87,15,2.18,1.85,END_OF_REPLAY,65.1,69.9,83,55,55,60,0,60
BAJFINANCE,2025-06-12,2025-09-30,937.15,998.9,15,6.59,6.35,END_OF_REPLAY,66.5,66.1,100,70,35,43,0,50
RELIANCE,2025-06-20,2025-08-08,1453.65,1347.86,7,-7.28,-7.53,STOP_LOSS,68.8,72.8,83,55,55,80,0,60
TITAN,2025-06-20,2025-07-11,3508.44,3354.99,3,-4.37,-4.71,STOP_LOSS,66.8,71.2,83,50,55,80,0,55
M&M,2025-06-20,2025-10-08,3159.02,3426.5,15,8.47,8.24,END_OF_REPLAY,66.4,71.0,83,60,40,80,0,50
GRASIM,2025-06-20,2025-10-08,2702.77,2778.2,15,2.79,2.47,END_OF_REPLAY,67.5,66.9,93,65,60,45,0,55
APOLLOHOSP,2025-06-20,2025-09-30,7045.12,7620.35,14,8.16,7.85,TRAIL_STOP,65.5,70.2,77,60,55,70,0,55
KOTAKBANK,2025-06-27,2025-08-01,441.07,396.6,5,-10.08,-10.36,STOP_LOSS_GAP,76.7,73.3,93,100,55,50,0,60
ULTRACEMCO,2025-06-27,2025-10-15,12136.07,12311.0,15,1.44,1.12,END_OF_REPLAY,71.2,69.6,93,85,60,35,0,60
BPCL,2025-06-27,2025-10-15,312.56,321.93,15,3.0,2.63,END_OF_REPLAY,68.3,67.5,83,65,70,55,0,60
EICHERMOT,2025-07-17,2025-09-09,5540.66,6538.66,7,18.01,17.71,TARGET_2_GAP,71.3,69.7,93,70,60,55,0,60
HDFCBANK,2025-07-24,2025-11-14,976.27,989.6,15,1.37,1.12,END_OF_REPLAY,66.3,65.9,100,55,55,43,0,55
ICICIBANK,2025-08-01,2025-09-30,1460.33,1353.7,8,-7.3,-7.55,STOP_LOSS_GAP,65.0,64.8,93,60,60,33,0,60
HINDUNILVR,2025-08-01,2025-11-21,2533.78,2433.7,15,-3.95,-4.28,END_OF_REPLAY,65.0,69.8,68,75,60,60,0,55
TITAN,2025-08-18,2025-09-30,3554.8,3386.16,6,-4.74,-5.08,STOP_LOSS,67.2,71.7,83,60,55,70,0,55
HDFCLIFE,2025-08-18,2025-11-07,791.0,731.05,11,-7.58,-7.93,STOP_LOSS_GAP,70.1,68.9,100,65,60,43,0,60
HEROMOTOCO,2025-08-18,2025-11-28,4888.71,5907.44,14,20.84,20.53,TARGET_2,68.8,72.8,83,65,35,90,0,50
HINDALCO,2025-08-18,2025-12-05,714.15,825.04,15,15.53,15.2,T1_PARTIAL_BE,65.9,65.5,83,65,60,48,0,60
