symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
INFY,2024-01-17,2024-03-26,1511.52,1374.94,9,-9.04,-9.29,STOP_LOSS_GAP,68.2,72.5,70,75,75,60,0,60
HINDALCO,2024-01-24,2024-02-16,553.0,508.43,3,-8.06,-8.42,STOP_LOSS,71.2,77.6,100,60,55,70,0,48
TECHM,2024-01-25,2024-04-19,1250.27,1099.91,11,-12.03,-12.38,STOP_LOSS_GAP,66.2,70.8,76,65,55,65,0,60
ITC,2024-02-01,2024-02-09,391.11,357.38,1,-8.62,-9.0,STOP_LOSS_GAP,74.0,79.6,100,50,75,85,0,48
SBIN,2024-02-01,2024-02-09,580.32,670.53,1,15.54,15.3,TARGET_2,69.7,73.6,93,55,60,70,0,55
BHARTIARTL,2024-02-01,2024-05-06,1144.55,1266.52,12,10.66,10.33,TRAIL_STOP,71.8,78.1,100,50,55,80,0,55
ADANIPORTS,2024-02-01,2024-05-28,1131.11,1366.05,15,20.77,20.46,T1_PARTIAL_BE,65.3,73.0,100,47,35,70,0,45
INDUSINDBK,2024-02-01,2024-05-13,1495.4,1386.51,13,-7.28,-7.62,STOP_LOSS,74.2,79.7,100,55,75,80,0,48
DRREDDY,2024-02-02,2024-05-28,1193.22,1178.56,15,-1.23,-1.57,END_OF_REPLAY,73.7,71.4,93,90,60,43,0,60
SUNPHARMA,2024-02-08,2024-03-18,1382.2,1524.36,5,10.29,9.96,TRAIL_STOP,69.8,71.7,100,57,55,55,0,60
POWERGRID,2024-02-08,2024-05-21,255.05,294.28,13,15.38,15.02,TARGET_2,69.1,76.1,100,50,55,60,0,60
TMPV,2024-02-08,2024-04-19,865.9,960.14,9,10.88,10.64,TRAIL_STOP,68.2,70.4,100,50,55,55,0,60
ONGC,2024-02-08,2024-06-04,228.41,249.2,15,9.11,8.73,TRAIL_STOP,74.5,79.9,100,50,55,90,0,60
BPCL,2024-02-08,2024-02-16,248.98,306.1,1,22.94,22.59,TARGET_2,74.5,79.9,100,50,55,90,0,60
SBIN,2024-02-15,2024-06-04,686.87,822.87,14,19.8,19.56,TARGET_2_GAP,76.3,78.0,93,67,55,90,0,60
LT,2024-02-15,2024-04-19,3236.53,3537.76,8,9.31,9.08,TRAIL_STOP,69.3,76.2,100,40,55,85,0,48
TRENT,2024-02-15,2024-05-21,3750.12,4509.22,12,20.24,19.94,TARGET_2_GAP,76.8,81.3,100,60,55,90,0,60
COALINDIA,2024-02-15,2024-03-18,396.53,365.75,4,-7.76,-8.14,STOP_LOSS_GAP,70.5,72.2,100,60,55,55,0,60
BRITANNIA,2024-02-15,2024-04-19,4844.14,4562.1,8,-5.82,-6.16,STOP_LOSS_GAP,69.4,73.3,100,55,55,60,0,55
