symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
APOLLOHOSP,2026-04-21,2026-06-16,7744.0,8390.5,8,8.35,8.03,END_OF_REPLAY,68.1,67.3,83,65,75,55,0,55
SUNPHARMA,2026-04-28,2026-06-02,1747.3,1842.81,5,5.47,5.14,TRAIL_STOP,65.0,69.8,78,40,60,90,0,53
ADANIPORTS,2026-04-28,2026-06-16,1630.73,1822.0,7,11.73,11.41,END_OF_REPLAY,71.5,69.9,86,80,60,55,0,60
DRREDDY,2026-04-28,2026-06-16,1354.6,1276.9,7,-5.74,-6.08,END_OF_REPLAY,73.5,76.3,86,85,60,60,0,60
TITAN,2026-05-04,2026-05-12,4417.0,4119.79,1,-6.73,-7.06,STOP_LOSS,77.5,78.7,93,85,60,70,0,60
JSWSTEEL,2026-05-04,2026-06-16,1281.6,1274.3,6,-0.57,-0.91,END_OF_REPLAY,75.3,72.4,93,90,55,55,0,60
COALINDIA,2026-05-04,2026-06-16,467.0,450.95,6,-3.44,-3.8,END_OF_REPLAY,80.2,83.2,100,75,55,90,0,60
DIVISLAB,2026-05-06,2026-06-10,6702.0,6638.5,5,-0.95,-1.27,END_OF_REPLAY,65.6,65.3,68,70,75,55,0,60
TATACONSUM,2026-05-12,2026-06-02,1242.49,1126.5,3,-9.34,-9.68,STOP_LOSS_GAP,74.8,77.1,78,80,55,90,0,60
GRASIM,2026-05-26,2026-06-16,3165.0,3140.3,3,-0.78,-1.11,END_OF_REPLAY,70.9,69.5,86,80,55,55,0,60
ONGC,2026-05-27,2026-06-09,287.5,264.15,1,-8.12,-8.51,STOP_LOSS_GAP,71.2,77.7,100,55,55,70,0,55
SUNPHARMA,2026-06-03,2026-06-16,1789.9,1800.7,1,0.6,0.27,END_OF_REPLAY,65.1,64.9,93,65,55,35,0,55
HINDALCO,2026-06-03,2026-06-16,1146.3,990.0,1,-13.64,-13.99,STOP_LOSS_GAP,67.7,70.0,100,57,55,43,0,60
TATACONSUM,2026-06-03,2026-06-16,1154.7,1111.2,1,-3.77,-4.11,STOP_LOSS_GAP,68.4,72.6,86,60,55,78,0,48
