symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
SBIN,2026-01-02,2026-02-10,947.96,1081.27,5,14.06,13.82,TARGET_2_GAP,68.3,70.5,100,60,70,33,0,60
TITAN,2026-01-02,2026-04-28,3983.7,4419.73,15,10.95,10.63,T1_PARTIAL_BE,69.2,68.2,93,65,70,43,0,60
TATASTEEL,2026-01-02,2026-02-10,168.82,195.71,5,15.93,15.54,TARGET_2,68.5,67.7,93,50,90,50,0,55
TECHM,2026-01-02,2026-02-10,1612.4,1707.22,5,5.88,5.56,TRAIL_STOP,67.3,66.7,83,75,75,33,0,60
BPCL,2026-01-02,2026-03-11,361.41,326.0,9,-9.8,-10.18,STOP_LOSS_GAP,68.3,67.5,100,60,70,33,0,60
SBILIFE,2026-01-02,2026-03-25,2007.01,1845.3,11,-8.06,-8.4,STOP_LOSS_GAP,67.8,67.1,100,55,75,33,0,60
BRITANNIA,2026-01-02,2026-03-25,6041.5,5536.5,11,-8.36,-8.69,STOP_LOSS_GAP,65.4,60.1,93,60,75,25,0,60
HINDALCO,2026-01-02,2026-02-17,865.0,938.69,6,8.52,8.19,TRAIL_STOP,79.0,82.5,100,85,70,60,0,60
TATACONSUM,2026-01-02,2026-03-04,1185.17,1105.15,8,-6.75,-7.1,STOP_LOSS_GAP,73.6,71.4,93,70,90,48,0,60
SHRIRAMFIN,2026-01-02,2026-04-28,955.5,953.25,15,-0.24,-0.57,END_OF_REPLAY,72.7,78.7,100,50,70,70,0,60
RELIANCE,2026-01-05,2026-01-12,1570.84,1468.51,1,-6.51,-6.76,STOP_LOSS_GAP,66.9,66.4,93,55,70,43,0,60
AXISBANK,2026-01-05,2026-03-25,1285.8,1200.0,11,-6.67,-6.92,STOP_LOSS_GAP,68.0,67.2,95,65,55,43,0,60
MARUTI,2026-01-05,2026-01-12,17155.0,16243.01,1,-5.32,-5.55,STOP_LOSS,67.6,69.9,100,62,60,33,0,60
M&M,2026-01-05,2026-01-27,3790.3,3437.2,3,-9.32,-9.56,STOP_LOSS_GAP,66.2,65.8,93,65,60,33,0,60
JSWSTEEL,2026-01-05,2026-04-28,1185.9,1281.6,15,8.07,7.74,END_OF_REPLAY,66.5,61.1,93,65,75,25,0,60
COALINDIA,2026-01-05,2026-04-28,421.87,466.34,15,10.54,10.19,T1_PARTIAL_BE,68.3,67.5,87,57,75,55,0,60
EICHERMOT,2026-01-05,2026-01-27,7482.5,7020.0,3,-6.18,-6.51,STOP_LOSS_GAP,75.2,75.4,100,82,70,43,0,60
BAJAJ-AUTO,2026-01-05,2026-04-06,9365.69,8656.67,12,-7.57,-7.9,STOP_LOSS_GAP,67.1,66.5,78,65,90,43,0,60
KOTAKBANK,2026-01-12,2026-01-27,426.66,409.4,2,-4.04,-4.32,STOP_LOSS,66.6,66.2,93,55,75,43,0,55
LT,2026-01-12,2026-01-27,3980.12,3707.59,2,-6.85,-7.09,STOP_LOSS_GAP,68.1,67.4,100,55,70,43,0,55
ASIANPAINT,2026-01-12,2026-01-19,2896.4,2756.9,1,-4.82,-5.15,STOP_LOSS_GAP,68.7,72.8,76,60,55,85,0,60
DIVISLAB,2026-01-12,2026-01-19,6485.5,6109.52,1,-5.8,-6.13,STOP_LOSS,66.4,66.0,83,50,90,55,0,55
MARUTI,2026-01-16,2026-01-27,16582.0,15300.0,1,-7.73,-7.97,STOP_LOSS_GAP,67.1,69.5,100,40,90,43,0,55
HCLTECH,2026-01-19,2026-02-10,1684.55,1565.04,3,-7.09,-7.44,STOP_LOSS_GAP,66.5,66.1,77,65,70,55,0,60
ONGC,2026-01-19,2026-02-10,237.52,258.61,3,8.88,8.5,TARGET_2,69.8,73.7,78,60,90,60,0,65
NTPC,2026-01-27,2026-02-24,342.12,373.36,4,9.13,8.78,TARGET_2,67.7,72.0,65,75,75,65,0,60
ULTRACEMCO,2026-01-27,2026-03-04,12589.0,11942.54,5,-5.14,-5.47,STOP_LOSS,66.2,70.8,68,65,75,65,0,60
GRASIM,2026-01-27,2026-03-04,2856.2,2705.16,5,-5.29,-5.62,STOP_LOSS,72.5,75.6,86,45,90,90,0,55
EICHERMOT,2026-02-02,2026-03-04,7164.5,7811.77,4,9.03,8.72,TRAIL_STOP,66.0,63.7,100,55,90,18,0,55
ADANIPORTS,2026-02-03,2026-03-04,1524.38,1401.3,4,-8.07,-8.42,STOP_LOSS,75.0,77.2,86,60,75,90,0,60
ICICIBANK,2026-02-10,2026-03-04,1406.5,1326.0,3,-5.72,-5.97,STOP_LOSS_GAP,68.3,67.5,76,75,75,55,0,55
KOTAKBANK,2026-02-10,2026-03-04,429.3,405.0,3,-5.66,-5.94,STOP_LOSS_GAP,68.8,72.8,86,60,75,60,0,55
LT,2026-02-10,2026-03-04,4128.67,3851.15,3,-6.72,-6.96,STOP_LOSS,68.3,67.5,87,65,60,55,0,60
M&M,2026-02-10,2026-03-04,3675.8,3240.0,3,-11.86,-12.1,STOP_LOSS_GAP,65.3,70.0,86,55,70,60,0,45
SBIN,2026-02-16,2026-03-18,1123.84,1048.6,4,-6.7,-6.95,STOP_LOSS_GAP,69.1,76.1,100,50,55,60,0,60
TATASTEEL,2026-02-16,2026-03-18,203.81,188.86,4,-7.33,-7.75,STOP_LOSS,79.6,79.8,100,72,55,90,0,60
ONGC,2026-02-16,2026-05-26,265.89,289.97,13,9.06,8.69,TRAIL_STOP,77.2,78.5,93,72,60,85,0,60
TECHM,2026-02-16,2026-02-24,1644.6,1420.0,1,-13.66,-14.01,STOP_LOSS_GAP,65.6,70.3,93,45,55,70,0,48
HINDALCO,2026-02-24,2026-06-02,922.85,1104.46,13,19.68,19.36,TARGET_2_GAP,68.5,70.6,100,55,55,55,0,55
NTPC,2026-03-02,2026-04-06,382.75,358.8,4,-6.26,-6.63,STOP_LOSS_GAP,72.2,75.4,93,57,55,80,0,60
SUNPHARMA,2026-03-04,2026-04-06,1750.5,1684.3,4,-3.78,-4.12,STOP_LOSS_GAP,71.2,74.7,70,80,60,85,0,55
POWERGRID,2026-03-04,2026-05-12,291.95,314.04,9,7.57,7.2,TRAIL_STOP,71.5,74.9,88,60,55,85,0,55
EICHERMOT,2026-03-10,2026-03-18,7626.5,6984.0,1,-8.42,-8.76,STOP_LOSS_GAP,74.6,80.0,100,75,60,60,0,55
DRREDDY,2026-03-11,2026-04-06,1325.5,1220.1,3,-7.95,-8.3,STOP_LOSS_GAP,67.6,67.0,83,75,75,35,0,60
SBIN,2026-03-24,2026-05-12,1050.86,959.6,6,-8.68,-8.94,STOP_LOSS_GAP,66.8,74.3,100,45,55,65,0,48
TATASTEEL,2026-03-24,2026-06-16,191.46,196.0,11,2.37,2.06,END_OF_REPLAY,71.2,77.7,100,55,55,70,0,55
NTPC,2026-04-10,2026-06-02,366.1,393.82,7,7.57,7.22,TRAIL_STOP,66.4,66.0,93,55,55,55,0,55
DMART,2026-04-13,2026-05-26,4448.0,4099.9,6,-7.83,-8.16,STOP_LOSS_GAP,65.2,70.0,58,80,40,85,0,55
BAJAJ-AUTO,2026-04-13,2026-06-16,9679.77,9939.0,9,2.68,2.36,END_OF_REPLAY,72.0,70.2,93,65,75,55,0,60
AXISBANK,2026-04-21,2026-05-05,1377.7,1268.0,2,-7.96,-8.21,STOP_LOSS_GAP,74.0,71.6,100,65,75,55,0,60
