symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
ITC,2025-01-02,2025-01-09,434.04,412.45,1,-4.97,-5.34,STOP_LOSS,65.8,70.5
INFY,2025-01-02,2025-02-19,1861.3,1731.33,7,-6.98,-7.32,STOP_LOSS,66.3,65.9
BHARTIARTL,2025-01-02,2025-04-24,1596.35,1814.4,15,13.66,13.34,T1_PARTIAL_BE,65.5,63.2
HCLTECH,2025-01-02,2025-01-16,1850.85,1727.91,2,-6.64,-6.98,STOP_LOSS,78.2,77.1
LT,2025-01-02,2025-01-23,3643.6,3414.88,3,-6.28,-6.61,STOP_LOSS,66.5,66.1
SUNPHARMA,2025-01-02,2025-01-16,1848.62,1747.3,2,-5.48,-5.82,STOP_LOSS,69.7,71.5
BAJFINANCE,2025-01-02,2025-02-05,734.39,832.83,5,13.4,13.08,TARGET_2,69.7,73.5
M&M,2025-01-02,2025-01-23,3185.51,2904.13,3,-8.83,-9.17,STOP_LOSS,68.9,68.0
ULTRACEMCO,2025-01-02,2025-01-16,11723.39,10961.81,2,-6.5,-6.83,STOP_LOSS,65.2,65.0
TECHM,2025-01-02,2025-02-27,1678.39,1572.6,8,-6.3,-6.64,STOP_LOSS,65.3,68.0
EICHERMOT,2025-01-02,2025-02-12,5240.15,4869.17,6,-7.08,-7.41,STOP_LOSS,77.3,78.6
APOLLOHOSP,2025-01-02,2025-01-16,7391.88,6919.74,2,-6.39,-6.72,STOP_LOSS,81.0,78.5
DRREDDY,2025-01-09,2025-01-23,1362.96,1281.82,2,-5.95,-6.29,STOP_LOSS,65.7,65.3
ULTRACEMCO,2025-01-30,2025-02-27,11407.09,10685.47,4,-6.33,-6.66,STOP_LOSS,67.0,71.4
BAJAJFINSV,2025-01-30,2025-04-07,1744.35,1934.4,9,10.9,10.58,TRAIL_STOP,65.8,70.4
TITAN,2025-02-05,2025-02-12,3480.43,3383.58,1,-2.78,-3.11,STOP_LOSS,68.3,72.5
BAJFINANCE,2025-02-12,2025-06-06,816.37,943.47,15,15.57,15.25,T1_PARTIAL_BE,69.1,73.1
KOTAKBANK,2025-02-19,2025-05-09,396.54,431.97,10,8.93,8.59,TRAIL_STOP,67.4,66.8
JSWSTEEL,2025-02-27,2025-04-07,972.38,914.75,5,-5.93,-6.27,STOP_LOSS,67.5,71.8
ICICIBANK,2025-03-21,2025-07-11,1332.82,1411.01,15,5.87,5.54,END_OF_REPLAY,66.2,70.8
EICHERMOT,2025-03-21,2025-07-11,5238.03,5540.66,15,5.78,5.46,END_OF_REPLAY,68.0,67.2
SHRIRAMFIN,2025-03-21,2025-04-07,669.7,595.31,2,-11.11,-11.47,STOP_LOSS,68.0,72.3
HDFCBANK,2025-03-28,2025-07-18,901.91,988.14,15,9.56,9.23,T1_PARTIAL_BE,70.9,69.5
HINDALCO,2025-03-28,2025-04-07,677.48,627.49,1,-7.38,-7.74,STOP_LOSS,68.1,72.3
HDFCLIFE,2025-04-16,2025-08-01,714.08,741.7,15,3.87,3.53,END_OF_REPLAY,69.4,68.3
SHRIRAMFIN,2025-04-16,2025-08-01,668.95,610.48,15,-8.74,-9.1,END_OF_REPLAY,66.0,70.7
ULTRACEMCO,2025-04-24,2025-05-30,12082.41,11147.68,5,-7.74,-8.07,STOP_LOSS,68.0,67.2
JSWSTEEL,2025-04-24,2025-05-02,1041.69,955.35,1,-8.29,-8.64,STOP_LOSS,67.5,71.9
BAJAJFINSV,2025-04-24,2025-08-08,2103.97,1907.79,15,-9.32,-9.67,STOP_LOSS,66.0,65.6
CIPLA,2025-04-24,2025-05-23,1521.03,1433.25,4,-5.77,-6.11,STOP_LOSS,65.5,65.2
BRITANNIA,2025-04-24,2025-08-08,5391.25,5387.0,15,-0.08,-0.4,END_OF_REPLAY,67.1,71.5
TATACONSUM,2025-04-24,2025-07-25,1143.08,1055.62,13,-7.65,-8.0,STOP_LOSS,70.5,74.2
