symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
BAJAJ-AUTO,2024-02-23,2024-03-01,8048.8,7586.77,1,-5.74,-6.07,STOP_LOSS,69.1,76.1
HEROMOTOCO,2024-03-01,2024-04-19,4217.52,3916.27,6,-7.14,-7.48,STOP_LOSS,67.8,70.1
HCLTECH,2024-03-11,2024-04-03,1496.11,1410.77,3,-5.7,-6.05,STOP_LOSS,67.8,70.1
APOLLOHOSP,2024-03-11,2024-06-04,6170.33,5698.61,11,-7.64,-7.98,STOP_LOSS,71.8,78.1
BAJAJ-AUTO,2024-03-11,2024-07-03,8261.02,9256.33,15,12.05,11.74,T1_PARTIAL_BE,67.5,69.8
TATACONSUM,2024-03-18,2024-03-26,1160.33,1093.16,1,-5.79,-6.13,STOP_LOSS,66.0,68.6
RELIANCE,2024-03-26,2024-06-04,1424.4,1353.54,9,-4.97,-5.32,STOP_LOSS,69.7,71.5
DMART,2024-03-26,2024-07-18,4486.2,5063.91,15,12.88,12.57,T1_PARTIAL_BE,67.9,72.1
M&M,2024-03-26,2024-05-21,1835.65,2188.31,7,19.21,18.9,TARGET_2,70.5,77.2
SHRIRAMFIN,2024-03-26,2024-06-26,461.66,551.98,12,19.56,19.23,TARGET_2,69.6,76.5
NTPC,2024-04-03,2024-06-04,334.85,309.88,8,-7.46,-7.84,STOP_LOSS,67.3,74.7
JSWSTEEL,2024-04-03,2024-07-25,859.93,872.15,15,1.42,1.08,END_OF_REPLAY,76.5,78.1
HINDALCO,2024-04-03,2024-06-04,569.14,651.72,8,14.51,14.18,TRAIL_STOP,70.2,72.0
TATASTEEL,2024-04-10,2024-06-04,154.91,144.03,7,-7.02,-7.46,STOP_LOSS,76.1,80.9
ICICIBANK,2024-04-26,2024-07-25,1090.03,1192.5,12,9.4,9.08,TRAIL_STOP,71.8,70.1
AXISBANK,2024-04-26,2024-08-08,1128.46,1220.46,14,8.15,7.83,TRAIL_STOP,65.7,65.3
DIVISLAB,2024-04-26,2024-08-01,3973.76,4939.6,13,24.31,24.0,TARGET_2,66.1,70.7
COALINDIA,2024-05-06,2024-06-04,404.97,368.62,4,-8.97,-9.35,STOP_LOSS,66.6,74.1
GRASIM,2024-05-06,2024-06-04,2435.05,2285.15,4,-6.16,-6.49,STOP_LOSS,71.8,73.1
