symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
HEROMOTOCO,2024-02-16,2024-03-01,4481.63,4187.68,2,-6.56,-6.89,STOP_LOSS,75.9,75.8
SBIN,2024-02-23,2024-06-19,718.88,819.28,15,13.97,13.64,T1_PARTIAL_BE,84.3,82.1
BAJAJ-AUTO,2024-02-23,2024-03-01,8048.8,7586.77,1,-5.74,-6.07,STOP_LOSS,79.1,82.6
HCLTECH,2024-03-01,2024-04-03,1501.08,1413.07,4,-5.86,-6.2,STOP_LOSS,70.9,72.5
COALINDIA,2024-03-11,2024-03-18,399.08,368.75,1,-7.6,-7.97,STOP_LOSS,74.9,75.1
APOLLOHOSP,2024-03-11,2024-06-04,6170.33,5698.61,11,-7.64,-7.98,STOP_LOSS,81.8,84.0
HEROMOTOCO,2024-03-11,2024-04-19,4371.54,4062.68,5,-7.07,-7.4,STOP_LOSS,75.5,75.5
BAJAJ-AUTO,2024-03-11,2024-07-03,8261.02,9256.33,15,12.05,11.74,T1_PARTIAL_BE,77.5,76.7
TATACONSUM,2024-03-18,2024-03-26,1160.33,1093.16,1,-5.79,-6.13,STOP_LOSS,76.0,75.9
TCS,2024-03-26,2024-06-04,3587.72,3372.1,9,-6.01,-6.34,STOP_LOSS,78.2,82.1
RELIANCE,2024-03-26,2024-06-04,1424.4,1353.54,9,-4.97,-5.32,STOP_LOSS,79.7,77.9
DMART,2024-03-26,2024-07-18,4486.2,5063.91,15,12.88,12.57,T1_PARTIAL_BE,77.9,78.9
NTPC,2024-03-26,2024-07-18,313.73,360.15,15,14.79,14.44,T1_PARTIAL_BE,74.0,74.6
M&M,2024-03-26,2024-05-21,1835.65,2188.31,7,19.21,18.9,TARGET_2,80.5,83.3
JSWSTEEL,2024-03-26,2024-05-13,813.32,867.55,6,6.67,6.33,TRAIL_STOP,74.1,76.7
COALINDIA,2024-03-26,2024-07-18,383.29,447.01,15,16.62,16.28,T1_PARTIAL_BE,72.2,73.4
HINDALCO,2024-03-26,2024-05-21,551.42,663.81,7,20.38,20.05,TARGET_2,68.5,70.6
SHRIRAMFIN,2024-03-26,2024-06-26,461.66,551.98,12,19.56,19.23,TARGET_2,79.6,82.8
ADANIPORTS,2024-04-03,2024-04-19,1378.68,1262.18,2,-8.45,-8.8,STOP_LOSS,68.3,70.5
BAJAJFINSV,2024-04-03,2024-04-19,1638.52,1573.74,2,-3.95,-4.29,STOP_LOSS,72.5,70.6
HCLTECH,2024-04-10,2024-04-19,1405.26,1321.42,1,-5.97,-6.31,STOP_LOSS,66.2,63.8
TATASTEEL,2024-04-10,2024-06-04,154.91,144.03,7,-7.02,-7.46,STOP_LOSS,86.1,85.8
TATACONSUM,2024-04-10,2024-06-04,1119.62,1049.29,7,-6.28,-6.63,STOP_LOSS,68.0,70.2
CIPLA,2024-04-19,2024-06-26,1308.06,1467.63,9,12.2,11.88,TRAIL_STOP,67.6,64.9
ICICIBANK,2024-04-26,2024-07-25,1090.03,1192.5,12,9.4,9.08,TRAIL_STOP,81.8,76.0
HCLTECH,2024-04-26,2024-05-06,1345.64,1249.78,1,-7.12,-7.47,STOP_LOSS,66.7,64.2
ULTRACEMCO,2024-04-26,2024-06-19,9582.97,10713.43,7,11.8,11.49,TARGET_2,71.9,68.2
ADANIPORTS,2024-04-26,2024-06-04,1307.05,1192.58,5,-8.76,-9.1,STOP_LOSS,66.4,69.0
DIVISLAB,2024-04-26,2024-08-01,3973.76,4939.6,13,24.31,24.0,TARGET_2,76.1,77.9
HEROMOTOCO,2024-04-26,2024-06-11,4203.01,5046.42,6,20.07,19.76,TARGET_2,67.3,69.7
GRASIM,2024-05-06,2024-06-04,2435.05,2285.15,4,-6.16,-6.49,STOP_LOSS,81.8,78.9
BPCL,2024-05-06,2024-08-23,272.13,323.85,15,19.01,18.66,T1_PARTIAL_BE,65.5,63.2
DRREDDY,2024-05-06,2024-05-13,1243.39,1165.65,1,-6.25,-6.6,STOP_LOSS,72.8,70.8
BRITANNIA,2024-05-06,2024-08-23,4931.93,5625.32,15,14.06,13.75,T1_PARTIAL_BE,66.1,70.7
EICHERMOT,2024-05-06,2024-06-04,4490.38,4171.39,4,-7.1,-7.44,STOP_LOSS,83.3,76.6
MARUTI,2024-05-13,2024-06-04,12420.83,11725.85,3,-5.6,-5.93,STOP_LOSS,74.6,75.0
BHARTIARTL,2024-05-13,2024-08-01,1268.22,1453.03,11,14.57,14.25,TARGET_2,79.9,83.0
ADANIENT,2024-05-21,2024-06-04,3113.35,2817.79,2,-9.49,-9.83,STOP_LOSS,69.6,68.5
JSWSTEEL,2024-05-21,2024-06-04,913.81,845.54,2,-7.47,-7.82,STOP_LOSS,88.8,83.8
LT,2024-05-28,2024-06-04,3561.34,3282.14,1,-7.84,-8.18,STOP_LOSS,69.1,71.1
M&M,2024-05-28,2024-08-08,2514.05,2810.35,10,11.79,11.47,TRAIL_STOP,74.2,74.7
POWERGRID,2024-05-28,2024-06-04,292.73,271.15,1,-7.37,-7.76,STOP_LOSS,78.5,77.3
HINDALCO,2024-05-28,2024-06-04,672.48,619.76,1,-7.84,-8.2,STOP_LOSS,85.2,85.4
AXISBANK,2024-06-04,2024-08-08,1129.41,1224.77,9,8.44,8.12,TRAIL_STOP,68.5,72.7
TCS,2024-06-11,2024-08-01,3590.12,4011.31,7,11.73,11.42,TARGET_2,65.4,60.1
RELIANCE,2024-06-11,2024-09-27,1439.32,1513.11,15,5.13,4.8,END_OF_REPLAY,72.8,70.8
MARUTI,2024-06-11,2024-07-03,12606.84,11731.35,3,-6.94,-7.28,STOP_LOSS,78.8,77.5
SUNPHARMA,2024-06-11,2024-08-30,1471.62,1734.04,11,17.83,17.52,TARGET_2,66.2,63.8
TRENT,2024-06-11,2024-08-16,4896.53,5989.09,9,22.31,22.01,TARGET_2,73.0,74.0
POWERGRID,2024-06-11,2024-09-27,296.24,334.27,15,12.84,12.48,END_OF_REPLAY,79.4,82.8
ONGC,2024-06-11,2024-09-06,246.43,291.8,12,18.41,18.05,TRAIL_STOP,72.6,75.7
JSWSTEEL,2024-06-11,2024-09-27,900.6,998.86,15,10.91,10.58,END_OF_REPLAY,79.9,80.0
ADANIPORTS,2024-06-11,2024-09-27,1384.85,1443.56,15,4.24,3.91,END_OF_REPLAY,69.9,68.7
TATASTEEL,2024-06-11,2024-07-25,170.19,153.16,6,-10.01,-10.45,STOP_LOSS,74.1,74.7
TECHM,2024-06-11,2024-08-30,1276.19,1536.58,11,20.4,20.09,TARGET_2,71.0,69.5
GRASIM,2024-06-11,2024-09-27,2438.62,2773.06,15,13.71,13.4,END_OF_REPLAY,86.0,85.8
EICHERMOT,2024-06-11,2024-09-27,4646.26,4997.8,15,7.57,7.25,END_OF_REPLAY,82.1,84.1
HINDALCO,2024-06-11,2024-09-27,664.24,741.71,15,11.66,11.33,END_OF_REPLAY,79.4,82.8
HDFCBANK,2024-06-19,2024-10-07,817.87,798.11,15,-2.42,-2.76,END_OF_REPLAY,78.3,79.2
ADANIENT,2024-06-19,2024-10-07,3258.83,3015.16,15,-7.48,-7.81,END_OF_REPLAY,69.5,68.5
DRREDDY,2024-06-19,2024-07-25,1176.76,1320.32,5,12.2,11.88,TARGET_2,68.2,67.4
HEROMOTOCO,2024-06-19,2024-08-08,5284.83,4856.67,7,-8.1,-8.44,STOP_LOSS,81.0,83.6
SBIN,2024-06-26,2024-10-07,814.04,741.12,14,-8.96,-9.31,STOP_LOSS,81.7,83.9
ULTRACEMCO,2024-06-26,2024-10-14,11007.63,11229.12,15,2.01,1.69,END_OF_REPLAY,90.5,87.3
LT,2024-07-03,2024-10-21,3546.31,3518.11,15,-0.8,-1.12,END_OF_REPLAY,74.4,71.8
BAJFINANCE,2024-07-03,2024-07-25,721.43,692.7,3,-3.98,-4.33,STOP_LOSS,67.2,66.6
CIPLA,2024-07-03,2024-10-14,1442.19,1599.39,14,10.9,10.58,TRAIL_STOP,74.6,70.0
TATACONSUM,2024-07-03,2024-10-21,1128.37,1055.13,15,-6.49,-6.84,STOP_LOSS,69.8,76.6
SHRIRAMFIN,2024-07-03,2024-10-07,554.65,666.45,13,20.16,19.83,TRAIL_STOP,87.5,86.3
ITC,2024-07-10,2024-09-27,400.67,456.79,11,14.01,13.66,TARGET_2,74.6,67.0
HINDUNILVR,2024-07-10,2024-10-07,2533.65,2806.56,12,10.77,10.45,TRAIL_STOP,68.6,67.8
MARUTI,2024-07-10,2024-10-28,12517.8,11565.92,15,-7.6,-7.94,STOP_LOSS,79.7,79.9
SBILIFE,2024-07-10,2024-09-06,1553.68,1824.18,8,17.41,17.1,TARGET_2,73.3,66.2
BAJAJ-AUTO,2024-07-10,2024-09-13,9177.43,10664.15,9,16.2,15.89,TARGET_2,70.4,72.1
INFY,2024-07-18,2024-11-04,1652.53,1676.67,15,1.46,1.13,END_OF_REPLAY,68.3,67.5
BAJAJFINSV,2024-07-18,2024-07-25,1650.45,1582.64,1,-4.11,-4.45,STOP_LOSS,69.3,68.3
DMART,2024-07-25,2024-10-07,5171.35,4777.46,10,-7.62,-7.95,STOP_LOSS,80.3,78.2
NTPC,2024-07-25,2024-11-11,373.84,379.5,15,1.51,1.15,END_OF_REPLAY,75.2,75.4
COALINDIA,2024-07-25,2024-10-28,434.33,390.16,13,-10.17,-10.55,STOP_LOSS,71.2,72.7
HDFCLIFE,2024-07-25,2024-11-11,681.27,703.41,15,3.25,2.91,END_OF_REPLAY,69.1,63.1
ICICIBANK,2024-08-01,2024-10-07,1190.58,1296.18,9,8.87,8.54,TRAIL_STOP,74.6,72.0
HCLTECH,2024-08-01,2024-11-04,1529.59,1698.1,13,11.02,10.7,TRAIL_STOP,67.4,66.7
DRREDDY,2024-08-01,2024-10-28,1368.91,1283.48,12,-6.24,-6.58,STOP_LOSS,83.0,76.5
APOLLOHOSP,2024-08-01,2024-11-19,6669.25,6660.08,15,-0.14,-0.46,END_OF_REPLAY,78.1,74.1
TCS,2024-08-08,2024-11-27,3897.81,4057.14,15,4.09,3.77,END_OF_REPLAY,74.2,76.7
BHARTIARTL,2024-08-08,2024-10-07,1439.76,1648.66,8,14.51,14.19,TRAIL_STOP,75.2,75.3
DIVISLAB,2024-08-08,2024-10-14,4812.59,5906.98,9,22.74,22.44,TARGET_2,74.5,74.9
M&M,2024-08-16,2024-12-04,2817.81,3007.59,15,6.73,6.41,END_OF_REPLAY,69.8,71.6
HEROMOTOCO,2024-08-16,2024-10-07,4833.85,5478.52,7,13.34,13.03,TRAIL_STOP,68.6,70.7
TRENT,2024-08-23,2024-11-04,6934.49,7700.4,10,11.04,10.73,TRAIL_STOP,76.4,76.1
BAJAJFINSV,2024-08-30,2024-11-19,1782.18,1643.72,11,-7.77,-8.11,STOP_LOSS,84.0,82.0
BPCL,2024-08-30,2024-09-20,329.19,299.65,3,-8.97,-9.36,STOP_LOSS,79.4,77.8
BRITANNIA,2024-08-30,2024-11-04,5779.51,5477.78,9,-5.22,-5.55,STOP_LOSS,76.5,76.1
SUNPHARMA,2024-09-06,2024-12-26,1796.0,1812.54,15,0.92,0.59,END_OF_REPLAY,78.0,77.0
TECHM,2024-09-06,2024-12-26,1563.56,1650.93,15,5.59,5.26,END_OF_REPLAY,73.6,74.3
AXISBANK,2024-09-13,2024-11-19,1216.41,1126.48,9,-7.39,-7.74,STOP_LOSS,65.8,60.5
BAJFINANCE,2024-09-13,2024-10-21,755.19,700.98,5,-7.18,-7.53,STOP_LOSS,79.7,79.9
TITAN,2024-09-13,2024-10-14,3755.7,3490.64,4,-7.06,-7.39,STOP_LOSS,72.1,65.3
SBILIFE,2024-09-13,2024-10-21,1840.43,1710.29,5,-7.07,-7.41,STOP_LOSS,74.5,74.9
KOTAKBANK,2024-09-20,2024-10-07,380.46,357.43,2,-6.05,-6.43,STOP_LOSS,67.6,72.0
BAJAJ-AUTO,2024-09-20,2024-10-21,11484.9,10745.69,4,-6.44,-6.77,STOP_LOSS,87.0,86.2
BPCL,2024-09-27,2024-10-21,338.07,306.07,3,-9.46,-9.85,STOP_LOSS,88.4,86.6
ITC,2024-10-07,2024-10-21,452.81,429.93,2,-5.05,-5.42,STOP_LOSS,77.3,76.6
JSWSTEEL,2024-10-07,2024-10-28,1016.01,940.5,3,-7.43,-7.78,STOP_LOSS,87.5,83.3
GRASIM,2024-10-07,2024-11-11,2710.64,2502.56,5,-7.68,-8.01,STOP_LOSS,69.2,68.2
HINDALCO,2024-10-07,2024-11-11,725.98,656.77,5,-9.53,-9.89,STOP_LOSS,79.8,75.0
ICICIBANK,2024-10-14,2025-01-30,1222.32,1245.99,15,1.94,1.6,END_OF_REPLAY,72.2,75.4
HINDUNILVR,2024-10-14,2024-10-28,2707.05,2554.68,2,-5.63,-5.96,STOP_LOSS,74.5,74.9
KOTAKBANK,2024-10-14,2024-10-21,381.72,356.96,1,-6.49,-6.86,STOP_LOSS,65.9,70.5
BHARTIARTL,2024-10-14,2024-11-11,1681.54,1557.59,4,-7.37,-7.71,STOP_LOSS,81.7,83.9
HEROMOTOCO,2024-10-14,2024-10-21,5236.58,4823.79,1,-7.88,-8.22,STOP_LOSS,75.8,75.7
SHRIRAMFIN,2024-10-14,2024-11-11,664.19,597.31,4,-10.07,-10.43,STOP_LOSS,71.6,73.0
HDFCBANK,2024-10-21,2025-02-05,852.82,857.31,15,0.53,0.19,END_OF_REPLAY,68.9,68.0
POWERGRID,2024-10-21,2025-01-16,312.48,287.82,12,-7.89,-8.28,STOP_LOSS,66.8,64.3
DIVISLAB,2024-10-21,2025-02-05,5898.14,6095.74,15,3.35,3.03,END_OF_REPLAY,77.6,81.8
JSWSTEEL,2024-11-04,2025-02-19,952.34,974.73,15,2.35,2.02,END_OF_REPLAY,66.0,65.6
CIPLA,2024-11-04,2024-11-19,1553.28,1445.83,2,-6.92,-7.26,STOP_LOSS,68.0,72.3
HCLTECH,2024-11-11,2025-01-30,1752.41,1620.86,11,-7.51,-7.85,STOP_LOSS,70.8,72.4
BHARTIARTL,2024-11-19,2025-03-06,1512.85,1613.41,15,6.65,6.32,END_OF_REPLAY,66.8,69.3
EICHERMOT,2024-11-19,2025-03-06,4901.89,5029.19,15,2.6,2.27,END_OF_REPLAY,76.9,73.4
INFY,2024-11-27,2025-02-27,1829.59,1695.77,13,-7.31,-7.66,STOP_LOSS,78.9,74.5
APOLLOHOSP,2024-11-27,2025-02-12,6954.69,6420.0,11,-7.69,-8.02,STOP_LOSS,75.2,67.3
TCS,2024-12-04,2025-01-09,4077.61,3785.91,5,-7.15,-7.49,STOP_LOSS,71.1,69.6
SHRIRAMFIN,2024-12-04,2025-01-16,617.01,548.74,6,-11.06,-11.43,STOP_LOSS,65.7,65.4
LT,2024-12-11,2025-01-09,3843.02,3529.72,4,-8.15,-8.49,STOP_LOSS,74.1,71.7
TITAN,2024-12-11,2024-12-18,3462.68,3381.69,1,-2.34,-2.67,STOP_LOSS,67.3,61.7
M&M,2024-12-11,2025-02-19,3047.57,2769.08,10,-9.14,-9.48,STOP_LOSS,74.0,71.6
TRENT,2024-12-18,2025-01-16,7099.15,6340.81,4,-10.68,-11.02,STOP_LOSS,70.9,72.4
