symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
SBIN,2024-01-03,2024-02-16,609.4,697.83,6,14.51,14.18,TARGET_2,88.1,83.5
ITC,2024-01-03,2024-01-25,409.65,390.09,3,-4.78,-5.14,STOP_LOSS,90.6,87.4
ICICIBANK,2024-01-03,2024-04-19,968.18,1056.43,14,9.12,8.79,TRAIL_STOP,70.2,73.9
TCS,2024-01-03,2024-03-18,3392.21,3835.18,10,13.06,12.75,TARGET_2,73.6,71.3
HDFCBANK,2024-01-03,2024-01-17,814.18,774.65,2,-4.86,-5.2,STOP_LOSS,66.8,66.3
HINDUNILVR,2024-01-03,2024-01-25,2505.46,2423.15,3,-3.29,-3.62,STOP_LOSS,69.8,73.7
HCLTECH,2024-01-03,2024-02-23,1302.63,1504.31,7,15.48,15.16,TARGET_2,76.7,76.2
BHARTIARTL,2024-01-03,2024-01-25,1020.93,1165.53,3,14.16,13.84,TARGET_2,82.1,79.1
SUNPHARMA,2024-01-03,2024-02-09,1267.02,1418.9,5,11.99,11.67,TARGET_2,79.8,78.0
AXISBANK,2024-01-03,2024-01-25,1096.82,1029.46,3,-6.14,-6.49,STOP_LOSS,83.1,76.6
LT,2024-01-03,2024-04-26,3349.26,3509.75,15,4.79,4.47,END_OF_REPLAY,78.5,77.3
TITAN,2024-01-03,2024-04-19,3669.96,3490.06,14,-4.9,-5.24,STOP_LOSS,75.8,75.8
TRENT,2024-01-03,2024-02-09,3050.68,3658.79,5,19.93,19.63,TARGET_2,75.9,75.8
NTPC,2024-01-03,2024-03-18,289.08,321.99,10,11.39,11.03,TRAIL_STOP,75.9,75.8
M&M,2024-01-03,2024-03-18,1630.12,1848.35,10,13.39,13.07,TRAIL_STOP,80.4,78.3
POWERGRID,2024-01-03,2024-02-02,218.19,254.03,4,16.43,16.06,TARGET_2,78.6,82.3
ONGC,2024-01-03,2024-02-02,184.9,211.11,4,14.18,13.79,TARGET_2,86.6,86.0
ULTRACEMCO,2024-01-03,2024-04-19,9988.62,9411.36,14,-5.78,-6.11,STOP_LOSS,79.4,82.7
ADANIENT,2024-01-03,2024-04-26,2999.0,3076.29,15,2.58,2.25,END_OF_REPLAY,73.8,76.4
JSWSTEEL,2024-01-03,2024-03-18,828.91,774.82,10,-6.53,-6.88,STOP_LOSS,72.7,75.7
ADANIPORTS,2024-01-03,2024-03-18,1079.75,1254.94,10,16.22,15.91,TRAIL_STOP,84.6,82.2
COALINDIA,2024-01-03,2024-02-09,334.25,399.3,5,19.46,19.12,TARGET_2,85.0,85.4
TATASTEEL,2024-01-03,2024-04-03,127.03,146.76,12,15.53,15.11,TARGET_2,78.9,77.5
HDFCLIFE,2024-01-03,2024-01-17,633.29,611.49,2,-3.44,-3.8,STOP_LOSS,67.4,74.8
GRASIM,2024-01-03,2024-04-26,2048.64,2308.51,15,12.69,12.37,T1_PARTIAL_BE,78.2,82.1
DIVISLAB,2024-01-03,2024-01-17,3987.85,3714.06,2,-6.87,-7.2,STOP_LOSS,66.7,66.2
CIPLA,2024-01-03,2024-04-10,1263.74,1408.26,13,11.44,11.11,TRAIL_STOP,83.4,79.7
BPCL,2024-01-03,2024-02-02,205.59,244.06,4,18.71,18.34,TARGET_2,82.9,84.5
DRREDDY,2024-01-03,2024-04-26,1171.96,1235.22,15,5.4,5.07,END_OF_REPLAY,70.2,64.0
SBILIFE,2024-01-03,2024-04-26,1415.48,1410.6,15,-0.34,-0.68,END_OF_REPLAY,79.1,77.6
BRITANNIA,2024-01-03,2024-02-09,5119.21,4868.1,5,-4.91,-5.24,STOP_LOSS,79.6,74.9
EICHERMOT,2024-01-03,2024-04-26,3795.78,4440.48,15,16.98,16.68,T1_PARTIAL_BE,80.3,80.2
INDUSINDBK,2024-01-03,2024-01-25,1583.57,1497.21,3,-5.45,-5.79,STOP_LOSS,85.3,80.5
HINDALCO,2024-01-03,2024-02-16,585.38,543.91,6,-7.08,-7.44,STOP_LOSS,83.5,84.7
APOLLOHOSP,2024-01-03,2024-03-01,5731.17,6424.14,8,12.09,11.78,TRAIL_STOP,79.9,78.0
TATACONSUM,2024-01-03,2024-03-11,1060.62,1203.16,9,13.44,13.12,TARGET_2,84.5,85.2
HEROMOTOCO,2024-01-03,2024-02-09,3653.44,4290.81,5,17.45,17.14,TARGET_2,72.7,78.7
BAJAJ-AUTO,2024-01-03,2024-02-16,6665.08,7866.37,6,18.02,17.72,TARGET_2,80.9,83.5
SHRIRAMFIN,2024-01-03,2024-03-18,404.96,459.84,10,13.55,13.21,TRAIL_STOP,87.0,81.1
RELIANCE,2024-01-10,2024-03-18,1309.26,1427.35,9,9.02,8.7,TRAIL_STOP,67.9,62.2
BAJFINANCE,2024-01-10,2024-01-25,759.53,710.5,2,-6.46,-6.81,STOP_LOSS,67.4,66.8
INFY,2024-01-17,2024-03-26,1511.52,1417.34,9,-6.23,-6.57,STOP_LOSS,78.2,79.1
TECHM,2024-01-17,2024-04-19,1254.72,1171.32,12,-6.65,-6.99,STOP_LOSS,74.2,71.7
ITC,2024-02-02,2024-02-09,377.76,370.04,1,-2.04,-2.41,STOP_LOSS,66.1,73.7
BHARTIARTL,2024-02-02,2024-05-06,1134.93,1263.57,12,11.33,11.01,TRAIL_STOP,81.7,83.9
AXISBANK,2024-02-02,2024-05-28,1065.32,1181.48,15,10.9,10.58,END_OF_REPLAY,71.8,70.1
INDUSINDBK,2024-02-02,2024-05-13,1516.91,1414.65,13,-6.74,-7.08,STOP_LOSS,80.8,83.5
POWERGRID,2024-02-09,2024-05-21,251.28,291.11,13,15.85,15.49,TARGET_2,80.9,83.5
ONGC,2024-02-09,2024-06-04,237.55,221.14,15,-6.91,-7.31,STOP_LOSS,83.6,84.8
BPCL,2024-02-09,2024-04-19,273.93,252.09,9,-7.97,-8.37,STOP_LOSS,83.6,84.8
MARUTI,2024-02-16,2024-05-06,11153.2,12272.53,10,10.04,9.72,TRAIL_STOP,78.8,74.4
SUNPHARMA,2024-02-16,2024-06-04,1481.63,1396.95,14,-5.72,-6.06,STOP_LOSS,83.6,84.8
TRENT,2024-02-16,2024-06-04,4014.51,4520.98,14,12.62,12.3,TRAIL_STOP,85.0,85.4
COALINDIA,2024-02-16,2024-03-01,417.22,387.95,2,-7.01,-7.39,STOP_LOSS,80.0,83.1
BRITANNIA,2024-02-16,2024-04-19,4787.82,4551.68,8,-4.93,-5.26,STOP_LOSS,74.4,76.9
